 1   1
 2   1
 3   1
 4   1
 5   1
 6   1
 7   1
 8   1
 9   1
10   1
11   1
12   1
13   1
14   1
15  -1
16  -2
17  -3
18  -4
19  -5
20  -6
21  -7
22  -8
23  -9
24 -10
25 -11
26 -12
27 -13
28 -14
29   1
30   1
31   1
32   1
33 -29
34 -30
35 -31
36 -32
37   1
38   1
39   1
40   1
41   1
42   1
43   1
44   1
45   1
46   1
47   1
48 -47
49   1
50 -49
51   1
52   1
53   1
54   1
55   1
56   1
57   1
58   1
59   1
60   1
61   1
62   1
63   1
64   1
65   1
66 -55
67 -56
68 -57
69 -58
70 -59
71 -60
72 -61
73 -63
74 -62
75 -64
76 -65
77   1
78   1
79   1
80   1
81   1
82   1
83   1
84   1
85 -84
86   1
87   1
